,ES.WT.rep1,ES.WT.rep2,ES.KD.rep1,ES.KD.rep2
Actg2,2035.100407,2039.774036,919.2800545,950.1943506
Col1a1,14757.08705,12808.04206,6931.979535,6963.416901
Mgp,1053.274846,1042.475406,495.3761152,445.2940315
Igf2,6937.805804,6317.929441,3505.422692,3525.536603
Ndufa4l2,60.2100712,46.88155953,216.8810852,189.3376197
Acta2,14643.89212,11930.93071,6918.013708,6772.326156
Col1a2,7268.559795,6229.280674,3493.921423,3600.921026
H19,9129.452396,8893.85804,5091.776388,4757.984257
Bgn,8506.478859,7613.565268,4270.257125,4661.562322
Col3a1,2259.081871,1949.420485,976.7864029,1158.816357
Myl9,3085.164048,2622.810158,1588.818253,1377.957121
Pfkp,2063.19844,1928.963077,3751.056952,3408.077154
Col5a1,3228.865418,2787.321812,1698.080315,1576.060371
Cd248,1005.106789,955.5314225,529.8799242,427.7627704
Fbln5,381.3304509,364.8237724,111.7266197,173.5594847
Lsm1,565.1718683,610.3126659,292.4608574,248.9439074
Plac8,346.0072092,396.3622761,144.5873902,161.2876019
Ctgf,3929.710647,3108.673593,1780.232241,1979.279376
Timp2,2986.419532,2736.178293,1669.327141,1625.147902
Thy1,1795.062923,1798.547102,996.5028652,1043.110034
Tagln,11622.95214,9127.413445,6095.672926,5368.072143
Fbn1,1526.124605,1172.89138,685.968584,708.2629477
Lox,2291.99671,2426.76,944.7471516,1423.5384
Cnn2,2496.710952,2403.745416,1439.301748,1425.291526
Lgals1,11619.74094,12303.42601,7459.394902,7168.532656
Col12a1,1260.39749,979.3983983,521.6647316,617.1003901
Cyr61,2520.794981,2191.49981,1239.672567,1420.032148
Parva,1008.317992,992.1842781,528.2368857,562.7534807
Tnc,10713.37867,7986.060569,5110.671331,5343.528378
Cd63,3255.35785,3345.638567,1963.431037,2019.601277
Gadd45g,513.7926076,478.1919072,258.7785676,210.375133
Klf4,4297.393482,4592.68805,6967.304863,7615.579814
Fstl1,3892.781803,4402.604636,2231.246316,2613.911027
Serpinf1,1477.153747,1257.278187,741.8318938,783.6473703
Prss23,1755.725676,1481.457281,742.6534131,983.5037467
Zan,43.35125126,46.02916754,146.2304287,134.9907103
Slc25a20,372.4996405,398.919452,692.5407381,755.5973526
Cdk1,2251.053862,2084.098419,3505.422692,3586.896017
Cnn1,1017.951604,878.8161433,534.8090397,506.6534452
Cyp2s1,82.68849778,83.53441517,225.9177971,196.3501241
Tnfrsf12a,1180.117396,1042.475406,654.750852,585.5441201
Loxl1,1697.924008,1342.517387,911.0648619,615.347264
Cald1,3874.317381,4179.277934,2057.905752,2634.948541
Loxl2,1615.23551,1595.677808,960.3560176,955.4537289
Ly6a,673.5499965,615.4270179,365.5760717,306.7970689
Sparc,8347.524271,8044.023224,4641.583832,5460.987827
Serpinh1,5581.875001,4998.426638,3262.252991,3330.939605
Tpm1,7250.898174,6750.944573,3984.368422,4637.018556
Cavin2,366.8800338,354.5950685,160.1962561,184.0782414
Mapt,190.263825,184.9690622,407.4735541,361.1439783